subject,stimulus,response,reactionTime
pot_pat,"3,1",same,1.6031088829040527
pot_pat,"2,2",same,4.097620010375977
pot_pat,"2,3",same,2.56561017036438
pot_pat,"6,5",diff,3.2914140224456787
pot_pat,"5,6",same,2.9858288764953613
pot_pat,"4,6",diff,2.4385838508605957
pot_pat,"6,7",same,2.4354240894317627
pot_pat,"7,6",same,2.510122060775757
pot_pat,"6,4",diff,3.479671001434326
pot_pat,"3,3",same,2.7951500415802
pot_pat,"1,2",same,15.263569831848145
pot_pat,"3,4",same,2.429234027862549
pot_pat,"7,1",diff,1.920781135559082
pot_pat,"4,5",diff,2.7046890258789062
pot_pat,"3,5",same,2.9302358627319336
pot_pat,"5,5",diff,2.8476219177246094
pot_pat,"5,7",same,2.2652671337127686
pot_pat,"2,7",diff,2.6537959575653076
pot_pat,"3,2",diff,2.883471965789795
pot_pat,"2,1",diff,3.0589380264282227
pot_pat,"1,1",same,2.2022180557250977
pot_pat,"6,6",same,2.066349983215332
pot_pat,"2,4",diff,2.397320032119751
pot_pat,"7,2",diff,2.2173240184783936
pot_pat,"1,3",diff,2.8149101734161377
pot_pat,"4,3",same,2.475529909133911
pot_pat,"1,7",diff,2.9465630054473877
pot_pat,"5,3",same,3.136843204498291
pot_pat,"5,4",same,2.296937942504883
pot_pat,"7,7",diff,2.887012004852295
pot_pat,"4,4",same,2.595416784286499
pot_pat,"7,5",same,2.5501811504364014
pot_pat,"4,2",diff,1.9214141368865967
